year_id:ID,name,:LABEL
d0fb963ff976f9c37fc81fe03c21ea7b,2001,Year
d77f00766fd3be3f2189c843a6af3fb2,1958,Year
1f36c15d6a3d18d52e8d493bc8187cb9,1985,Year
a00e5eb0973d24649a4a920fc53d9564,2007,Year
d7a84628c025d30f7b2c52c958767e76,2010,Year
6351bf9dce654515bf1ddbd6426dfa97,1996,Year
008bd5ad93b754d500338c253d9c1770,1994,Year
dc513ea4fbdaa7a14786ffdebc4ef64e,1990,Year
d47268e9db2e9aa3827bba3afb7ff94a,2005,Year
7d2b92b6726c241134dae6cd3fb8c182,1975,Year
ea5a486c712a91e48443cd802642223d,2006,Year
f80bf05527157a8c2a7bb63b22f49aaa,1980,Year
fb87582825f9d28a8d42c5e5e5e8b23d,1982,Year
8038da89e49ac5eabb489cfc6cea9fc1,2013,Year
1b36ea1c9b7a1c3ad668b8bb5df7963f,1984,Year
b3b4d2dbedc99fe843fd3dedb02f086f,1981,Year
3f088ebeda03513be71d34d214291986,1995,Year
9d7311ba459f9e45ed746755a32dcd11,1988,Year
c5a4e7e6882845ea7bb4d9462868219b,1993,Year
c5b2cebf15b205503560c4e8e6d1ea78,1998,Year
5ec829debe54b19a5f78d9a65b900a39,1999,Year
f1981e4bd8a0d6d8462016d2fc6276b3,2009,Year
1e4d36177d71bbb3558e43af9577d70e,1983,Year
96055f5b06bf9381ac43879351642cf5,1991,Year
ef8446f35513a8d6aa2308357a268a7e,2008,Year
d5c186983b52c4551ee00f72316c6eaa,1992,Year
8c249675aea6c3cbd91661bbae767ff1,1986,Year
798cebccb32617ad94123450fd137104,1979,Year
a591024321c5e2bdbd23ed35f0574dde,2003,Year
4a3e00961a08879c34f91ca0070ea2f5,1989,Year
4ba29b9f9e5732ed33761840f4ba6c53,2002,Year
08f90c1a417155361a5c4b8d297e0d78,2000,Year
d68a18275455ae3eaa2c291eebb46e6d,1987,Year
c8758b517083196f05ac29810b924aca,2011,Year
06964dce9addb1c5cb5d6e3d9838f733,1997,Year
b8b4b727d6f5d1b61fff7be687f7970f,2004,Year
405e28906322882c5be9b4b27f4c35fd,1978,Year
cee8d6b7ce52554fd70354e37bbf44a2,2014,Year
d0fb963ff976f9c37fc81fe03c21ea7b,2001,Year
d7a84628c025d30f7b2c52c958767e76,2010,Year
a00e5eb0973d24649a4a920fc53d9564,2007,Year
6351bf9dce654515bf1ddbd6426dfa97,1996,Year
008bd5ad93b754d500338c253d9c1770,1994,Year
dc513ea4fbdaa7a14786ffdebc4ef64e,1990,Year
d47268e9db2e9aa3827bba3afb7ff94a,2005,Year
ea5a486c712a91e48443cd802642223d,2006,Year
8d8818c8e140c64c743113f563cf750f,2017,Year
8038da89e49ac5eabb489cfc6cea9fc1,2013,Year
3f088ebeda03513be71d34d214291986,1995,Year
c5a4e7e6882845ea7bb4d9462868219b,1993,Year
c5b2cebf15b205503560c4e8e6d1ea78,1998,Year
5ec829debe54b19a5f78d9a65b900a39,1999,Year
f1981e4bd8a0d6d8462016d2fc6276b3,2009,Year
96055f5b06bf9381ac43879351642cf5,1991,Year
ef8446f35513a8d6aa2308357a268a7e,2008,Year
d5c186983b52c4551ee00f72316c6eaa,1992,Year
84ddfb34126fc3a48ee38d7044e87276,2018,Year
a591024321c5e2bdbd23ed35f0574dde,2003,Year
253614bbac999b38b5b60cae531c4969,2012,Year
65d2ea03425887a717c435081cfc5dbb,2015,Year
4ba29b9f9e5732ed33761840f4ba6c53,2002,Year
08f90c1a417155361a5c4b8d297e0d78,2000,Year
c8758b517083196f05ac29810b924aca,2011,Year
06964dce9addb1c5cb5d6e3d9838f733,1997,Year
b8b4b727d6f5d1b61fff7be687f7970f,2004,Year
