code,name,year_founded
002268,卫士通,1998
600966,博汇纸业,1994
000717,韶钢松山,1989
002667,鞍重股份,1994
600120,浙江东方,1994
000524,岭南控股,1993
002092,中泰化学,2001
000061,农产品,1989
603017,中衡设计,1995
002331,皖通科技,1999
000007,全新好,1983
002031,巨轮智能,2001
603989,艾华集团,1993
300083,劲胜智能,2003
300424,航新科技,2005
300263,隆华节能,1995
600146,商赢环球,1999
000765,*ST华信,1990
002516,旷达科技,2000
000506,中润资源,1988
600603,广汇物流,1988
000602,金马集团,1994
000710,贝瑞基因,1997
300030,阳普医疗,1996
002127,南极电商,1999
002145,中核钛白,2001
600506,香梨股份,1999
300008,天海防务,2001
300440,运达科技,2006
002608,江苏国信,2003
002237,恒邦股份,1994
002435,长江润发,1999
601100,恒立液压,2005
600468,百利电气,1999
600712,南宁百货,1993
000831,五矿稀土,1998
300361,奥赛康,2003
600073,上海梅林,1997
002738,中矿资源,1999
002701,奥瑞金,1997
600255,梦舟股份,1998
300437,清水源,1995
000099,中信海直,1999
300028,金亚科技,1999
601668,中国建筑,2007
300020,银江股份,1992
601928,凤凰传媒,1999
002091,江苏国泰,1998
300384,三联虹普,1999
600691,阳煤化工,1988
000561,烽火电子,1992
000980,众泰汽车,1998
600806,退市昆机,1993
600683,京投发展,1992
300333,兆日科技,2003
600246,万通地产,1998
000882,华联股份,1998
002545,东方铁塔,1996
002063,远光软件,1998
002669,康达新材,1988
002121,科陆电子,2000
002356,赫美集团,1994
600111,北方稀土,1997
000729,燕京啤酒,1997
000426,兴业矿业,1996
002120,韵达股份,1996
600018,上港集团,1988
900914,锦投B股,1993
002422,科伦药业,2002
300082,奥克股份,2000
002124,天邦股份,1996
600226,瀚叶股份,1999
000523,广州浪奇,1978
600178,东安动力,1998
000527,美的电器,1992
600723,首商股份,1993
600553,太行水泥,1993
600633,浙数文化,1992
300425,环能科技,2002
600380,健康元,1992
002378,章源钨业,2000
000777,中核科技,1997
001696,宗申动力,1989
300378,鼎捷软件,2001
603000,人民网,2005
000833,贵糖股份,1993
002396,星网锐捷,1996
600722,金牛化工,1994
300397,天和防务,2004
300149,量子生物,2000
002679,福建金森,1996
300138,晨光生物,2000
300417,南华仪器,1996
002737,葵花药业,2005
