code,name,year_listed
300417,南华仪器,2015
002737,葵花药业,2014
600619,海立股份,1992
000010,美丽生态,1995
000757,浩物股份,1997
601886,江河集团,2011
600038,中直股份,2000
002543,万和电气,2011
000806,银河生物,1998
601939,建设银行,2007
002334,英威腾,2010
002478,常宝股份,2010
600997,开滦股份,2004
601006,大秦铁路,2006
300104,乐视网,2010
002098,浔兴股份,2006
600487,亨通光电,2003
300366,创意信息,2014
603890,春秋电子,2017
600652,游久游戏,1990
300047,天源迪科,2010
300265,通光线缆,2011
600196,复星医药,1998
300407,凯发电气,2014
601996,丰林集团,2011
601001,大同煤业,2006
300073,当升科技,2010
000507,珠海港,1993
300172,中电环保,2011
002450,康得新,2010
002062,宏润建设,2006
600755,厦门国贸,1996
600288,大恒科技,2000
002629,仁智股份,2011
600690,青岛海尔,1993
600566,济川药业,2001
002101,广东鸿图,2006
601718,际华集团,2010
000997,新大陆,2000
002272,川润股份,2008
300285,国瓷材料,2012
000531,穗恒运A,1994
300308,中际旭创,2012
300372,欣泰退,2014
000892,欢瑞世纪,1999
002187,广百股份,2007
300204,舒泰神,2011
002424,贵州百灵,2010
000402,金融街,1996
300408,三环集团,2014
300176,鸿特科技,2011
600521,华海药业,2003
000413,东旭光电,1996
600200,江苏吴中,1999
000800,一汽轿车,1997
300171,东富龙,2011
002137,麦达数字,2007
600365,通葡股份,2001
601908,京运通,2011
002005,德豪润达,2004
600166,福田汽车,1998
300315,掌趣科技,2012
002587,奥拓电子,2011
300354,东华测试,2012
600604,市北高新,1992
600892,大晟文化,1996
300242,佳云科技,2011
002095,生意宝,2006
600415,小商品城,2002
000949,新乡化纤,1999
000989,九芝堂,2000
600516,方大炭素,2002
002648,卫星石化,2011
002611,东方精工,2011
600763,通策医疗,1996
600217,中再资环,1999
000035,中国天楹,1994
600699,均胜电子,1993
000510,金路集团,1993
601088,中国神华,2007
600241,时代万恒,2000
600581,八一钢铁,2002
600735,新华锦,1996
600293,三峡新材,2000
002425,凯撒文化,2010
600668,尖峰集团,1993
300180,华峰超纤,2011
600005,武钢股份,1999
002436,兴森科技,2010
600298,安琪酵母,2000
002303,美盈森,2009
300156,神雾环保,2011
200030,富奥B,1993
300090,盛运环保,2010
000558,莱茵体育,1994
002686,亿利达,2012
000797,中国武夷,1997
002644,佛慈制药,2011
002705,新宝股份,2014
002186,全聚德,2007
000059,华锦股份,1997
603108,润达医疗,2015
002386,天原集团,2010
002307,北新路桥,2009
002142,宁波银行,2007
002414,高德红外,2010
000032,深桑达A,1993
002077,大港股份,2006
000034,神州数码,1994
600101,明星电力,1997
000597,东北制药,1996
000425,徐工机械,1996
603806,福斯特,2014
600529,山东药玻,2002
600091,ST明科,1997
300380,安硕信息,2014
600104,上汽集团,1997
300017,网宿科技,2009
600208,新湖中宝,1999
002431,棕榈股份,2010
600991,广汽长丰,2004
000504,南华生物,1992
600608,ST沪科,1992
002628,成都路桥,2011
600230,沧州大化,2000
300388,国祯环保,2014
002542,中化岩土,2011
200706,瓦轴B,1997
000689,ST宏业,1996
002193,如意集团,2007
002707,众信旅游,2014
600039,四川路桥,2003
600511,国药股份,2002
300452,山河药辅,2015
600083,博信股份,1997
300313,天山生物,2012
002051,中工国际,2006
002210,飞马国际,2008
600993,马应龙,2004
600175,美都能源,1999
600482,中国动力,2004
000532,华金资本,1994
600718,东软集团,1996
000993,闽东电力,2000
300157,恒泰艾普,2011
300266,兴源环境,2011
300089,文化长城,2010
600876,洛阳玻璃,1995
002149,西部材料,2007
002640,跨境通,2011
000751,锌业股份,1997
000525,红太阳,1993
900908,氯碱B股,1992
600182,S佳通,1999
002687,乔治白,2012
600857,宁波中百,1994
603567,珍宝岛,2015
600012,皖通高速,2003
002675,东诚药业,2012
300275,梅安森,2011
000951,中国重汽,1999
002330,得利斯,2010
002592,八菱科技,2011
600686,金龙汽车,1993
600289,*ST信通,2000
002099,海翔药业,2006
002194,*ST凡谷,2007
300194,福安药业,2011
002642,荣之联,2011
600356,恒丰纸业,2001
002600,领益智造,2011
600222,太龙药业,1999
600389,江山股份,2001
002036,联创电子,2004
